codigo_linha,LetreiroCompleto,DescricaoCompleto,Sentido,TipoLinhaDescricao,LinhaCircular,latitude,longitude,acessivel,periodo_do_dia,dia_semana,hr_atualizacao,data_ingestao
1012-21,1012-21,1012-21 - JD. ROSINHA,Ida,Interbairros,Sim,-23.4311145,-46.787370499999994,Sim,Noite,Quarta,2025-12-03T23:29:55.000Z,2025-12-03T23:38:49.658Z
1012-21,1012-21,1012-21 - TERM. JD. BRITÂNIA,Volta,Interbairros,Sim,-23.432245,-46.800538,Sim,Noite,Quarta,2025-12-03T23:29:50.000Z,2025-12-03T23:38:49.658Z
1014-10,1014-10,1014-10 - CPTM PERUS,Volta,Radial,Sim,-23.452351,-46.792607000000004,Sim,Noite,Quarta,2025-12-03T23:29:48.000Z,2025-12-03T23:38:49.658Z
1014-10,1014-10,1014-10 - MORRO DOCE,Ida,Radial,Sim,-23.4045075,-46.753349,Sim,Noite,Quarta,2025-12-03T23:29:30.000Z,2025-12-03T23:38:49.658Z
1016-10,1016-10,1016-10 - CEM. DO HORTO,Volta,Radial,Nao,-23.493481000000003,-46.611540500000004,Sim,Noite,Quarta,2025-12-03T23:29:46.000Z,2025-12-03T23:38:49.658Z
1016-10,1016-10,1016-10 - SHOP. CENTER NORTE,Ida,Radial,Nao,-23.449446000000002,-46.608052,Sim,Noite,Quarta,2025-12-03T23:29:49.000Z,2025-12-03T23:38:49.658Z
1018-10,1018-10,1018-10 - METRÔ SANTANA,Ida,Radial,Nao,-23.4464745,-46.6276395,Sim,Noite,Quarta,2025-12-03T23:29:40.000Z,2025-12-03T23:38:49.658Z
1018-10,1018-10,1018-10 - VL. ROSA,Volta,Radial,Nao,-23.497363,-46.62208,Sim,Noite,Quarta,2025-12-03T23:29:26.000Z,2025-12-03T23:38:49.658Z
1019-10,1019-10,1019-10 - SOL NASCENTE,Volta,Radial,Nao,-23.4881355,-46.731741,Sim,Noite,Quarta,2025-12-03T23:29:48.000Z,2025-12-03T23:38:49.658Z
1019-10,1019-10,1019-10 - TERM. PIRITUBA,Ida,Radial,Nao,-23.4480425,-46.755663999999996,Sim,Noite,Quarta,2025-12-03T23:29:41.000Z,2025-12-03T23:38:49.658Z
1021-10,1021-10,1021-10 - COHAB BRASILÂNDIA,Volta,Radial,Nao,-23.460886000000002,-46.718134,Sim,Noite,Quarta,2025-12-03T23:29:34.000Z,2025-12-03T23:38:49.658Z
1021-10,1021-10,1021-10 - TERM. PIRITUBA,Ida,Radial,Nao,-23.4439115,-46.712223,Sim,Noite,Quarta,2025-12-03T23:29:53.000Z,2025-12-03T23:38:49.658Z
1036-10,1036-10,1036-10 - COHAB BRASILÂNDIA,Volta,Radial,Nao,-23.4781605,-46.713518,Sim,Noite,Quarta,2025-12-03T23:29:53.000Z,2025-12-03T23:38:49.658Z
1036-10,1036-10,1036-10 - CONEXÃO VL. IÓRIO,Ida,Radial,Nao,-23.447775,-46.708842000000004,Sim,Noite,Quarta,2025-12-03T23:29:50.000Z,2025-12-03T23:38:49.658Z
106A-10,106A-10,106A-10 - ITAIM BIBI,Ida,Radial,Nao,-23.58777075,-46.67879925,Sim,Noite,Quarta,2025-12-03T23:29:52.000Z,2025-12-03T23:38:49.658Z
106A-10,106A-10,106A-10 - METRÔ SANTANA,Volta,Radial,Nao,-23.551371000000003,-46.6462035,Sim,Noite,Quarta,2025-12-03T23:29:45.000Z,2025-12-03T23:38:49.658Z
107T-10,107T-10,107T-10 - METRÔ TUCURUVI,Volta,Radial,Nao,-23.4810725,-46.603761500000005,Sim,Noite,Quarta,2025-12-03T23:29:53.000Z,2025-12-03T23:38:49.658Z
107T-10,107T-10,107T-10 - TERM. PINHEIROS,Ida,Radial,Nao,-23.4808435,-46.604151,Sim,Noite,Quarta,2025-12-03T23:29:54.000Z,2025-12-03T23:38:49.658Z
118Y-10,118Y-10,118Y-10 - LAPA,Ida,Radial,Nao,-23.474412,-46.6491555,Sim,Noite,Quarta,2025-12-03T23:29:44.000Z,2025-12-03T23:38:49.658Z
118Y-10,118Y-10,118Y-10 - LAUZANE PAULISTA,Volta,Radial,Nao,-23.472411,-46.634502749999996,Sim,Noite,Quarta,2025-12-03T23:29:53.000Z,2025-12-03T23:38:49.658Z
119L-10,119L-10,119L-10 - TERM. LAPA,Ida,Radial,Nao,-23.4460195,-46.7842,Sim,Noite,Quarta,2025-12-03T23:29:26.000Z,2025-12-03T23:38:49.658Z
119L-10,119L-10,119L-10 - VL. SULINA,Volta,Radial,Nao,-23.520552,-46.6995845,Sim,Noite,Quarta,2025-12-03T23:29:31.000Z,2025-12-03T23:38:49.658Z
128Y-10,128Y-10,128Y-10 - JD. PERY ALTO,Volta,Radial,Nao,-23.5208515,-46.7036495,Sim,Noite,Quarta,2025-12-03T23:29:55.000Z,2025-12-03T23:38:49.658Z
128Y-10,128Y-10,128Y-10 - LAPA,Ida,Radial,Nao,-23.453468,-46.6715455,Sim,Noite,Quarta,2025-12-03T23:29:43.000Z,2025-12-03T23:38:49.658Z
139A-10,139A-10,139A-10 - LAPA,Ida,Radial,Nao,-23.502102,-46.703075,Sim,Noite,Quarta,2025-12-03T23:29:47.000Z,2025-12-03T23:38:49.658Z
139A-10,139A-10,139A-10 - VL. IÓRIO,Volta,Radial,Nao,-23.497901,-46.699059250000005,Sim,Noite,Quarta,2025-12-03T23:29:46.000Z,2025-12-03T23:38:49.658Z
148L-10,148L-10,148L-10 - COHAB ANTÁRTICA,Volta,Radial,Nao,-23.454375,-46.651802,Sim,Noite,Quarta,2025-12-03T23:29:54.000Z,2025-12-03T23:38:49.658Z
148L-10,148L-10,148L-10 - LAPA,Ida,Radial,Nao,-23.464776999999998,-46.6544685,Sim,Noite,Quarta,2025-12-03T23:29:51.000Z,2025-12-03T23:38:49.658Z
1701-10,1701-10,1701-10 - JOVA RURAL,Volta,Radial,Sim,-23.455840000000002,-46.5829465,Sim,Noite,Quarta,2025-12-03T22:19:28.000Z,2025-12-03T23:38:49.658Z
1701-10,1701-10,1701-10 - METRÔ SANTANA,Ida,Radial,Sim,-23.449534,-46.5750305,Sim,Noite,Quarta,2025-12-03T22:11:02.000Z,2025-12-03T23:38:49.658Z
1701-23,1701-23,1701-23 - JOVA RURAL,Volta,Circular,Sim,-23.501005125,-46.621661,Sim,Noite,Quarta,2025-12-03T23:29:47.000Z,2025-12-03T23:38:49.658Z
1701-23,1701-23,1701-23 - METRÔ SANTANA,Ida,Circular,Sim,-23.4515095,-46.576896500000004,Sim,Noite,Quarta,2025-12-03T23:29:50.000Z,2025-12-03T23:38:49.658Z
1703-10,1703-10,1703-10 - JD. FONTÁLIS,Volta,Radial,Nao,-23.438691499999997,-46.5754615,Sim,Noite,Quarta,2025-12-03T23:29:46.000Z,2025-12-03T23:38:49.658Z
1703-10,1703-10,1703-10 - SHOP. CENTER NORTE,Ida,Radial,Nao,-23.430699500000003,-46.573944499999996,Sim,Noite,Quarta,2025-12-03T23:29:55.000Z,2025-12-03T23:38:49.658Z
1705-51,1705-51,1705-51 - CEM. PQ. DA CANTAREIRA,Volta,Desconhecido,Nao,-23.430950000000003,-46.582280499999996,Sim,Noite,Quarta,2025-12-03T23:09:50.000Z,2025-12-03T23:38:49.658Z
1705-51,1705-51,1705-51 - METRÔ TUCURUVI,Ida,Desconhecido,Nao,-23.4794755,-46.601996,Sim,Noite,Quarta,2025-12-03T23:29:38.000Z,2025-12-03T23:38:49.658Z
